15:08:27.138 [main] INFO net.runelite.client.RuneLite - RuneLite runelite-1.8.19-SNAPSHOT (launcher version unknown) starting up, args: none
15:08:27.178 [main] INFO net.runelite.client.RuneLite - Java VM arguments: -Xmx900m -XX:GCTimeRatio=19
15:08:28.157 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.http.api.ws.messages.LoginResponse - EventBus.Subscriber(object=net.runelite.client.account.SessionManager@15dcfae7, method=public void net.runelite.client.account.SessionManager.onLoginResponse(net.runelite.http.api.ws.messages.LoginResponse), priority=0.0, lambda=net.runelite.client.account.SessionManager$$Lambda$276/0x0000000800e534c8@3da05287)
15:08:28.196 [main] DEBUG net.runelite.client.input.KeyManager - Registering key listener: net.runelite.client.ui.overlay.OverlayRenderer@3e30646a
15:08:28.197 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.api.events.ClientTick - EventBus.Subscriber(object=net.runelite.client.ui.overlay.OverlayRenderer@3e30646a, method=protected void net.runelite.client.ui.overlay.OverlayRenderer.onClientTick(net.runelite.api.events.ClientTick), priority=0.0, lambda=net.runelite.client.ui.overlay.OverlayRenderer$$Lambda$277/0x0000000800e56450@37c7595)
15:08:28.197 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.api.events.FocusChanged - EventBus.Subscriber(object=net.runelite.client.ui.overlay.OverlayRenderer@3e30646a, method=public void net.runelite.client.ui.overlay.OverlayRenderer.onFocusChanged(net.runelite.api.events.FocusChanged), priority=0.0, lambda=net.runelite.client.ui.overlay.OverlayRenderer$$Lambda$278/0x0000000800e56680@614df0a4)
15:08:28.198 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.api.events.BeforeRender - EventBus.Subscriber(object=net.runelite.client.ui.overlay.OverlayRenderer@3e30646a, method=public void net.runelite.client.ui.overlay.OverlayRenderer.onBeforeRender(net.runelite.api.events.BeforeRender), priority=0.0, lambda=net.runelite.client.ui.overlay.OverlayRenderer$$Lambda$279/0x0000000800e568b0@73a2e526)
15:08:28.201 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.client.events.ConfigChanged - EventBus.Subscriber(object=net.runelite.client.ui.overlay.infobox.InfoBoxManager@5fe1ce85, method=public void net.runelite.client.ui.overlay.infobox.InfoBoxManager.onConfigChanged(net.runelite.client.events.ConfigChanged), priority=0.0, lambda=net.runelite.client.ui.overlay.infobox.InfoBoxManager$$Lambda$280/0x0000000800e56f10@604c5de8)
15:08:28.202 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.client.events.InfoBoxMenuClicked - EventBus.Subscriber(object=net.runelite.client.ui.overlay.infobox.InfoBoxManager@5fe1ce85, method=public void net.runelite.client.ui.overlay.infobox.InfoBoxManager.onInfoBoxMenuClicked(net.runelite.client.events.InfoBoxMenuClicked), priority=0.0, lambda=net.runelite.client.ui.overlay.infobox.InfoBoxManager$$Lambda$281/0x0000000800e57140@57abad67)
15:08:28.211 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.client.events.ConfigChanged - EventBus.Subscriber(object=net.runelite.client.chat.ChatMessageManager@6b3e12b5, method=public void net.runelite.client.chat.ChatMessageManager.onConfigChanged(net.runelite.client.events.ConfigChanged), priority=0.0, lambda=net.runelite.client.chat.ChatMessageManager$$Lambda$282/0x0000000800e60578@5aac4250)
15:08:28.212 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.api.events.VarbitChanged - EventBus.Subscriber(object=net.runelite.client.chat.ChatMessageManager@6b3e12b5, method=public void net.runelite.client.chat.ChatMessageManager.onVarbitChanged(net.runelite.api.events.VarbitChanged), priority=0.0, lambda=net.runelite.client.chat.ChatMessageManager$$Lambda$283/0x0000000800e607a8@59f63e24)
15:08:28.212 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.api.events.ScriptCallbackEvent - EventBus.Subscriber(object=net.runelite.client.chat.ChatMessageManager@6b3e12b5, method=public void net.runelite.client.chat.ChatMessageManager.onScriptCallbackEvent(net.runelite.api.events.ScriptCallbackEvent), priority=0.0, lambda=net.runelite.client.chat.ChatMessageManager$$Lambda$284/0x0000000800e609d8@fade1fc)
